player,team,season
Harry Searson,Leeds United,1949-1950
Jimmy Dunn,Leeds United,1949-1950
Jim Bullions,Leeds United,1949-1950
Eric Kerfoot,Leeds United,1949-1950
Jimmy McCabe,Leeds United,1949-1950
Geoff Sellers,Leeds United,1949-1950
Harold Williams,Leeds United,1949-1950
Len Browning,Leeds United,1949-1950
Thommy Casey,Leeds United,1949-1950
John Charles,Leeds United,1949-1950
Davy Cochrane,Leeds United,1949-1950
Frank Dudley,Leeds United,1949-1950
Eddie McMorran,Leeds United,1949-1950
James Thompson Wilson,Leeds United,1949-1950
Frank Buckley,Leeds United,1949-1950
Harry Searson,Leeds United,1950-1951
Jimmy Dunn,Leeds United,1950-1951
Grenville Hair,Leeds United,1950-1951
Jack Marsden,Leeds United,1950-1951
Eric Kerfoot,Leeds United,1950-1951
Jimmy McCabe,Leeds United,1950-1951
Harold Williams,Leeds United,1950-1951
Len Browning,Leeds United,1950-1951
John Charles,Leeds United,1950-1951
Davy Cochrane,Leeds United,1950-1951
Frank Buckley,Leeds United,1950-1951
Harry Searson,Leeds United,1951-1952
Jackie Charlton,Leeds United,1951-1952
Jimmy Dunn,Leeds United,1951-1952
Grenville Hair,Leeds United,1951-1952
Jack Marsden,Leeds United,1951-1952
Eric Kerfoot,Leeds United,1951-1952
Jimmy McCabe,Leeds United,1951-1952
Harold Williams,Leeds United,1951-1952
John Charles,Leeds United,1951-1952
Billy Hudson,Leeds United,1951-1952
Frank Buckley,Leeds United,1951-1952
Jackie Charlton,Leeds United,1952-1953
Jimmy Dunn,Leeds United,1952-1953
Grenville Hair,Leeds United,1952-1953
Jimmy Langley,Leeds United,1952-1953
Jack Marsden,Leeds United,1952-1953
Eric Kerfoot,Leeds United,1952-1953
Jimmy McCabe,Leeds United,1952-1953
Harold Williams,Leeds United,1952-1953
John Charles,Leeds United,1952-1953
Bob Forrest,Leeds United,1952-1953
Andy McCall,Leeds United,1952-1953
George Meek,Leeds United,1952-1953
Albert Nightingale,Leeds United,1952-1953
Raich Carter,Leeds United,1952-1953
Royden Wood,Leeds United,1953-1954
Jackie Charlton,Leeds United,1953-1954
Jimmy Dunn,Leeds United,1953-1954
Grenville Hair,Leeds United,1953-1954
Jack Marsden,Leeds United,1953-1954
Eric Kerfoot,Leeds United,1953-1954
Jimmy McCabe,Leeds United,1953-1954
Harold Williams,Leeds United,1953-1954
John Charles,Leeds United,1953-1954
Bob Forrest,Leeds United,1953-1954
Andy McCall,Leeds United,1953-1954
George Meek,Leeds United,1953-1954
Albert Nightingale,Leeds United,1953-1954
Raich Carter,Leeds United,1953-1954
Royden Wood,Leeds United,1954-1955
Jackie Charlton,Leeds United,1954-1955
Jimmy Dunn,Leeds United,1954-1955
Grenville Hair,Leeds United,1954-1955
Jack Marsden,Leeds United,1954-1955
Archie Gibson,Leeds United,1954-1955
Eric Kerfoot,Leeds United,1954-1955
Keith Ripley,Leeds United,1954-1955
Harold Williams,Leeds United,1954-1955
Harold Brook,Leeds United,1954-1955
John Charles,Leeds United,1954-1955
Bob Forrest,Leeds United,1954-1955
Andy McCall,Leeds United,1954-1955
George Meek,Leeds United,1954-1955
Albert Nightingale,Leeds United,1954-1955
Raich Carter,Leeds United,1954-1955
Royden Wood,Leeds United,1955-1956
Jimmy Ashall,Leeds United,1955-1956
Jackie Charlton,Leeds United,1955-1956
Jimmy Dunn,Leeds United,1955-1956
Grenville Hair,Leeds United,1955-1956
Jack Marsden,Leeds United,1955-1956
Archie Gibson,Leeds United,1955-1956
Eric Kerfoot,Leeds United,1955-1956
Keith Ripley,Leeds United,1955-1956
Harold Williams,Leeds United,1955-1956
Harold Brook,Leeds United,1955-1956
John Charles,Leeds United,1955-1956
Bob Forrest,Leeds United,1955-1956
George Hutchinson,Leeds United,1955-1956
George Meek,Leeds United,1955-1956
Albert Nightingale,Leeds United,1955-1956
Jackie Overfield,Leeds United,1955-1956
Raich Carter,Leeds United,1955-1956
Willie Nimmo,Leeds United,1956-1957
Royden Wood,Leeds United,1956-1957
Jimmy Ashall,Leeds United,1956-1957
Jackie Charlton,Leeds United,1956-1957
Jimmy Dunn,Leeds United,1956-1957
Grenville Hair,Leeds United,1956-1957
Jack Marsden,Leeds United,1956-1957
Archie Gibson,Leeds United,1956-1957
Eric Kerfoot,Leeds United,1956-1957
Frank McKenna,Leeds United,1956-1957
Keith Ripley,Leeds United,1956-1957
Harold Williams,Leeds United,1956-1957
Harold Brook,Leeds United,1956-1957
John Charles,Leeds United,1956-1957
Chris Crowe,Leeds United,1956-1957
Bob Forrest,Leeds United,1956-1957
George Meek,Leeds United,1956-1957
Albert Nightingale,Leeds United,1956-1957
George O'Brien,Leeds United,1956-1957
Jackie Overfield,Leeds United,1956-1957
Raich Carter,Leeds United,1956-1957
Carlo Mattrel,Juventus,1957-1958
Giuseppe Vavassori,Juventus,1957-1958
Giovanni Viola,Juventus,1957-1958
Bruno Barberi,Juventus,1957-1958
Benito Boldi,Juventus,1957-1958
Giuseppe Corradi,Juventus,1957-1958
Rino Ferrario,Juventus,1957-1958
Bruno Garzena,Juventus,1957-1958
Giuseppe Patrucco,Juventus,1957-1958
Giorgio Regis,Juventus,1957-1958
Umberto Colombo,Juventus,1957-1958
Flavio Emoli,Juventus,1957-1958
Antonio Montico,Juventus,1957-1958
Giorgio Turchi,Juventus,1957-1958
Giampiero Boniperti,Juventus,1957-1958
John Charles,Juventus,1957-1958
Bruno Nicole,Juventus,1957-1958
Piero Sartore,Juventus,1957-1958
Omar Sivori,Juventus,1957-1958
Gino Stacchini,Juventus,1957-1958
Giorgio Stivanello,Juventus,1957-1958
Romano Voltolina,Juventus,1957-1958
Ljubisa Brocic,Juventus,1957-1958
Carlo Mattrel,Juventus,1958-1959
Giuseppe Vavassori,Juventus,1958-1959
Benito Boldi,Juventus,1958-1959
Ernesto Castano,Juventus,1958-1959
Giuseppe Corradi,Juventus,1958-1959
Rino Ferrario,Juventus,1958-1959
Bruno Garzena,Juventus,1958-1959
Benito Sarti,Juventus,1958-1959
Piero Aggradi,Juventus,1958-1959
Umberto Colombo,Juventus,1958-1959
Flavio Emoli,Juventus,1958-1959
Luigi Fuin,Juventus,1958-1959
Gianfranco Leoncini,Juventus,1958-1959
Antonio Montico,Juventus,1958-1959
Karl-Erik Palmer,Juventus,1958-1959
Francesco Stacchino,Juventus,1958-1959
Giorgio Turchi,Juventus,1958-1959
Giampiero Boniperti,Juventus,1958-1959
John Charles,Juventus,1958-1959
Ermes Muccinelli,Juventus,1958-1959
Bruno Nicole,Juventus,1958-1959
Omar Sivori,Juventus,1958-1959
Gino Stacchini,Juventus,1958-1959
Giorgio Stivanello,Juventus,1958-1959
Teobaldo Depetrini,Juventus,1958-1959
Carlo Mattrel,Juventus,1959-1960
Giuseppe Vavassori,Juventus,1959-1960
Ernesto Castano,Juventus,1959-1960
Sergio Cervato,Juventus,1959-1960
Bruno Garzena,Juventus,1959-1960
Miguel Longo,Juventus,1959-1960
Benito Sarti,Juventus,1959-1960
Umberto Colombo,Juventus,1959-1960
Flavio Emoli,Juventus,1959-1960
Gianfranco Leoncini,Juventus,1959-1960
Severino Lojodice,Juventus,1959-1960
Antonio Montico,Juventus,1959-1960
Giorgio Rossano,Juventus,1959-1960
Giampiero Boniperti,Juventus,1959-1960
John Charles,Juventus,1959-1960
Bruno Mazzia,Juventus,1959-1960
Bruno Nicole,Juventus,1959-1960
Ettore Ninni,Juventus,1959-1960
Omar Sivori,Juventus,1959-1960
Gino Stacchini,Juventus,1959-1960
Giorgio Stivanello,Juventus,1959-1960
Romano Voltolina,Juventus,1959-1960
Carlo Parola,Juventus,1959-1960
Renato Cesarini,Juventus,1959-1960
Luigi Ferrero,Juventus,1960-1961
Carlo Mattrel,Juventus,1960-1961
Gianni Romano,Juventus,1960-1961
Giuseppe Vavassori,Juventus,1960-1961
Galeazzo Bello,Juventus,1960-1961
Tarcisio Burgnich,Juventus,1960-1961
Ernesto Castano,Juventus,1960-1961
Sergio Cervato,Juventus,1960-1961
Benito Sarti,Juventus,1960-1961
Umberto Colombo,Juventus,1960-1961
Flavio Emoli,Juventus,1960-1961
Eugenio Fascetti,Juventus,1960-1961
Gianfranco Leoncini,Juventus,1960-1961
Giampiero Boniperti,Juventus,1960-1961
Angelo Caroli,Juventus,1960-1961
Dario Cavallito,Juventus,1960-1961
John Charles,Juventus,1960-1961
Bruno Mazzia,Juventus,1960-1961
Bruno Mora,Juventus,1960-1961
Bruno Nicole,Juventus,1960-1961
Omar Sivori,Juventus,1960-1961
Gino Stacchini,Juventus,1960-1961
Carlo Parola,Juventus,1960-1961
Renato Cesarini,Juventus,1960-1961
Roberto Anzolin,Juventus,1961-1962
Giuseppe Gaspari,Juventus,1961-1962
Michele Benedetto,Juventus,1961-1962
Giancarlo Bercellino,Juventus,1961-1962
Gianfranco Bozzao,Juventus,1961-1962
Domenico Casati,Juventus,1961-1962
Ernesto Castano,Juventus,1961-1962
Bruno Garzena,Juventus,1961-1962
Benito Sarti,Juventus,1961-1962
Amaro,Juventus,1961-1962
Flavio Emoli,Juventus,1961-1962
Gianfranco Leoncini,Juventus,1961-1962
Antonio Montico,Juventus,1961-1962
Giorgio Rossano,Juventus,1961-1962
Angelo Caroli,Juventus,1961-1962
Franco Carrera,Juventus,1961-1962
John Charles,Juventus,1961-1962
Franco Dianti,Juventus,1961-1962
Bruno Mazzia,Juventus,1961-1962
Bruno Mora,Juventus,1961-1962
Bruno Nicole,Juventus,1961-1962
Humberto Rosa,Juventus,1961-1962
Omar Sivori,Juventus,1961-1962
Gino Stacchini,Juventus,1961-1962
Giorgio Stivanello,Juventus,1961-1962
Gianfranco Zigoni,Juventus,1961-1962
Carlo Parola,Juventus,1961-1962
Fabio Cudicini,AS Roma,1962-1963
Alberto Ginulfi,AS Roma,1962-1963
Enzo Mateucci,AS Roma,1962-1963
Orvar Bergmark,AS Roma,1962-1963
Sergio Carpanesi,AS Roma,1962-1963
Francesco Carpenetti,AS Roma,1962-1963
Giulio Corsini,AS Roma,1962-1963
Alfio Fontana,AS Roma,1962-1963
Egidio Guarnacci,AS Roma,1962-1963
Giacomo Losi,AS Roma,1962-1963
Bartolomeo Tarantino,AS Roma,1962-1963
Giancarlo De Sisti,AS Roma,1962-1963
Lamberto Leonardi,AS Roma,1962-1963
Paolo Pestrin,AS Roma,1962-1963
Antonio Angelillo,AS Roma,1962-1963
John Charles,AS Roma,1962-1963
Willi Huberts,AS Roma,1962-1963
Torbjorn Jonsson,AS Roma,1962-1963
Francisco Lojacono,AS Roma,1962-1963
Pedro Manfredini,AS Roma,1962-1963
Giampaolo Menichelli,AS Roma,1962-1963
Alberto Orlando,AS Roma,1962-1963
Luis Carniglia,AS Roma,1962-1963
Alfredo Foni,AS Roma,1962-1963
Dilwyn John,Cardiff City,1963-1964
Graham Vearncombe,Cardiff City,1963-1964
Graham Coldrick,Cardiff City,1963-1964
Leonard Edwards,Cardiff City,1963-1964
Alan Harrington,Cardiff City,1963-1964
Alexander Milne,Cardiff City,1963-1964
Don Murray,Cardiff City,1963-1964
Trevor Peck,Cardiff City,1963-1964
Peter Rodrigues,Cardiff City,1963-1964
Ron Stitfall,Cardiff City,1963-1964
Colin Baker,Cardiff City,1963-1964
Steve Gammon,Cardiff City,1963-1964
Barry Hole,Cardiff City,1963-1964
Gareth Williams,Cardiff City,1963-1964
Ivor Allchurch,Cardiff City,1963-1964
John Charles,Cardiff City,1963-1964
Mel Charles,Cardiff City,1963-1964
Greg Farrell,Cardiff City,1963-1964
Tommy Halliday,Cardiff City,1963-1964
Peter King,Cardiff City,1963-1964
Bernie Lewis,Cardiff City,1963-1964
Derek Tapscott,Cardiff City,1963-1964
Dilwyn John,Cardiff City,1964-1965
Bob Wilson,Cardiff City,1964-1965
Graham Coldrick,Cardiff City,1964-1965
Alan Harrington,Cardiff City,1964-1965
Alexander Milne,Cardiff City,1964-1965
Don Murray,Cardiff City,1964-1965
Trevor Peck,Cardiff City,1964-1965
Peter Rodrigues,Cardiff City,1964-1965
Colin Baker,Cardiff City,1964-1965
Steve Gammon,Cardiff City,1964-1965
Barry Hole,Cardiff City,1964-1965
Gareth Williams,Cardiff City,1964-1965
Ivor Allchurch,Cardiff City,1964-1965
John Charles,Cardiff City,1964-1965
Mel Charles,Cardiff City,1964-1965
Greg Farrell,Cardiff City,1964-1965
George Johnston,Cardiff City,1964-1965
Peter King,Cardiff City,1964-1965
Bernie Lewis,Cardiff City,1964-1965
Derek Tapscott,Cardiff City,1964-1965
Jimmy Scoular,Cardiff City,1964-1965
Dilwyn John,Cardiff City,1965-1966
Bob Wilson,Cardiff City,1965-1966
Gary Bell,Cardiff City,1965-1966
Graham Coldrick,Cardiff City,1965-1966
Bobby Ferguson,Cardiff City,1965-1966
Alan Harrington,Cardiff City,1965-1966
Don Murray,Cardiff City,1965-1966
Colin Baker,Cardiff City,1965-1966
Barry Hole,Cardiff City,1965-1966
David Summerhayes,Cardiff City,1965-1966
Gareth Williams,Cardiff City,1965-1966
Ronnie Bird,Cardiff City,1965-1966
John Charles,Cardiff City,1965-1966
Greg Farrell,Cardiff City,1965-1966
Terry Harkin,Cardiff City,1965-1966
George Johnston,Cardiff City,1965-1966
Peter King,Cardiff City,1965-1966
Bernie Lewis,Cardiff City,1965-1966
John Toshack,Cardiff City,1965-1966
Jimmy Scoular,Cardiff City,1965-1966
